lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
1.0,piml-conservation,small,4482,4096,11,101,success,0.0012300838716328144,0.0012614981969818473,0.0011789113050326705,8.903608431864996e-06,8.997681106848177e-06,7.979891051945742e-06,346,19.777663946151733
1.0,piml-conservation,small,4482,4096,11,202,success,0.001210613059811294,0.001214168849401176,0.0011255027493461967,8.795403118710965e-06,9.140487236436456e-06,7.5746438596979715e-06,323,21.114380598068237
1.0,piml-conservation,small,4482,4096,11,303,success,0.001346647273749113,0.0013757324777543545,0.0013032257556915283,1.0122545063495636e-05,1.0314171049685683e-05,9.257219062419608e-06,240,15.511662721633911
10.0,piml-conservation,large,67074,1024,11,101,nan,0.27218490839004517,0.2926352620124817,0.2743266224861145,0.3368504047393799,0.3534822463989258,0.3407835066318512,-1,0.012118339538574219
10.0,piml-conservation,large,67074,1024,11,202,nan,0.3145484924316406,0.3419804573059082,0.3166313171386719,0.3588091731071472,0.391985684633255,0.3615407645702362,-1,0.011408329010009766
10.0,piml-conservation,large,67074,1024,11,303,nan,0.2089860886335373,0.2245989590883255,0.21033065021038055,0.1988794356584549,0.20891626179218292,0.20067542791366577,-1,0.012799739837646484
10.0,piml-conservation,large,67074,128,11,101,nan,0.27047958970069885,0.29101845622062683,0.31836411356925964,0.31782296299934387,0.33513540029525757,0.3626742959022522,4,0.06144142150878906
10.0,piml-conservation,large,67074,128,11,202,nan,0.3148527145385742,0.34202685952186584,0.3706231415271759,0.3539336025714874,0.38657301664352417,0.41599398851394653,3,0.05123615264892578
10.0,piml-conservation,large,67074,128,11,303,nan,0.24800223112106323,0.2663351595401764,0.28561532497406006,0.2597316801548004,0.2750755250453949,0.2897794544696808,3,0.052603721618652344
10.0,piml-conservation,large,67074,4096,11,101,nan,0.2741134464740753,0.29423144459724426,0.2807959020137787,0.3449026048183441,0.36110731959342957,0.35314756631851196,-1,0.01157689094543457
10.0,piml-conservation,large,67074,4096,11,202,nan,0.3157561123371124,0.34339481592178345,0.32456570863723755,0.3503682613372803,0.3836803138256073,0.3630163371562958,-1,0.008161783218383789
10.0,piml-conservation,large,67074,4096,11,303,success,0.0013821107568219304,0.0014556862879544497,0.0013631107285618782,1.030896237352863e-05,1.0893351827689912e-05,9.701123417471536e-06,172,15.029422998428345
10.0,piml-conservation,small,4482,1024,11,101,success,0.003983568865805864,0.004195366986095905,0.00399691890925169,0.00010148143337573856,0.00011489744065329432,9.665540710557252e-05,394,8.720573425292969
10.0,piml-conservation,small,4482,1024,11,202,success,0.003679949324578047,0.004081707447767258,0.0037325103767216206,8.056838851189241e-05,9.777153900358826e-05,8.069289469858631e-05,388,8.63932490348816
10.0,piml-conservation,small,4482,1024,11,303,success,0.003791231196373701,0.0040182434022426605,0.0036489253398030996,8.617885032435879e-05,9.394924563821405e-05,8.196489216061309e-05,392,9.057294368743896
10.0,piml-conservation,small,4482,128,11,101,success,0.017354691401124,0.01811150647699833,0.014798451215028763,0.001544482191093266,0.0016360473819077015,0.0009942528558894992,399,4.46156907081604
10.0,piml-conservation,small,4482,128,11,202,success,0.014687255024909973,0.01519825030118227,0.010981407947838306,0.0016240539262071252,0.0017182076117023826,0.0009174763690680265,399,4.545856237411499
10.0,piml-conservation,small,4482,128,11,303,success,0.014835306443274021,0.01515759527683258,0.009886191226541996,0.0015908353962004185,0.0017126845195889473,0.0007368455990217626,399,4.504315137863159
10.0,piml-conservation,small,4482,4096,11,101,nan,0.3420869708061218,0.3702908456325531,0.3516591489315033,0.424184113740921,0.4596768319606781,0.4399503171443939,-1,0.04869985580444336
10.0,piml-conservation,small,4482,4096,11,202,success,0.0018136990256607533,0.0019463656935840845,0.001790116890333593,1.9641736798803322e-05,2.071906055789441e-05,1.8261009245179594e-05,357,22.005025386810303
10.0,piml-conservation,small,4482,4096,11,303,success,0.0020108509343117476,0.0020641235169023275,0.0019401456229388714,2.4082504751277156e-05,2.4854585717548616e-05,2.2863008780404925e-05,361,22.030407667160034
