model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
plain,False,none,small,"64,64",4482,48,9,9,0.0,0.0,0.012679261776308218,0.0023860284446614198,0.00079534281488714,0.013034996887048086,0.0027439340804557085,0.0009146446934852362,0.0018272149932777716,0.0009904896443773954,0.00033016321479246514,17.229914002948338,0.4579747537841571,0.15265825126138569
plain,False,none,small,"64,64",4482,64,9,9,0.0,0.0,0.010184516250673268,0.0016071287738878622,0.000535709591295954,0.010389357805252075,0.0018556180277449293,0.000618539342581643,0.001145905556364192,0.0004925607133120665,0.0001641869044373555,16.85544384850396,0.36953434785966827,0.12317811595322276
plain,False,none,small,"64,64",4482,96,9,9,0.0,0.0,0.007880519661638472,0.0010873655030406942,0.00036245516768023143,0.007971007739090256,0.0009636241519611223,0.00032120805065370743,0.0005457352769250671,0.00019692189510811468,6.564063170270489e-05,17.100847482681274,0.3559024550656923,0.1186341516885641
plain,False,none,small,"64,64",4482,128,9,9,0.0,0.0,0.006707796619998084,0.0009279539534666194,0.0003093179844888731,0.006758238809804122,0.0009079643301328799,0.00030265477671096,0.0004206424637231976,0.00011178050293436358,3.726016764478786e-05,17.5866187148624,0.3333002376511367,0.11110007921704557
plain,False,none,small,"64,64",4482,256,9,9,0.0,0.0,0.006528943104462491,0.0009723393096668244,0.0003241131032222748,0.006444169570588403,0.0009466967576828721,0.0003155655858942907,0.0003469014789314113,9.830865043941727e-05,3.276955014647242e-05,18.11437643898858,0.25677409476770763,0.0855913649225692
plain,False,none,small,"64,64",4482,384,9,9,0.0,0.0,0.006204444294174512,0.0009178365453539683,0.0003059455151179894,0.0061636572289798,0.0008919529801450982,0.0002973176600483661,0.00031611388840246946,0.00010544203827385506,3.514734609128502e-05,18.443454106648762,0.1940069912424804,0.0646689970808268
plain,False,none,small,"64,64",4482,512,9,9,0.0,0.0,0.005707291782730156,0.0007317115036282997,0.00024390383454276656,0.005677670861283938,0.0006972288932993445,0.0002324096310997815,0.0002478824365728845,7.905407122383765e-05,2.635135707461255e-05,19.14316423734029,0.25816108046540526,0.08605369348846842
plain,False,none,small,"64,64",4482,1024,9,9,0.0,0.0,0.0054208194423053,0.0006832356053649954,0.0002277452017883318,0.005346516509436899,0.000606906376249772,0.00020230212541659068,0.00021800829239913987,7.145056453551537e-05,2.381685484517179e-05,21.634354538387722,0.24860709386815893,0.08286903128938632
plain,False,none,small,"64,64",4482,2048,9,9,0.0,0.0,0.003428110826967491,0.00032228465087771944,0.00010742821695923981,0.003450611942551202,0.0003493979953887343,0.00011646599846291143,8.08031974075776e-05,1.823120754512063e-05,6.0770691817068775e-06,23.074512084325153,0.42986854362202365,0.14328951454067454
plain,False,none,small,"64,64",4482,4096,9,9,0.0,0.0,0.0023936291432215106,0.00028694854016638046,9.564951338879349e-05,0.002396328995625178,0.0002901282254779566,9.670940849265219e-05,3.57068311132025e-05,9.745217017292209e-06,3.2484056724307365e-06,30.02313386069404,1.1399850014437165,0.37999500048123885
plain,False,none,small,"64,64",4482,8192,9,9,0.0,0.0,0.0016750639252778557,0.00012683650202728456,4.2278834009094856e-05,0.0016863378825493986,0.0001446051614994558,4.82017204998186e-05,1.6796805034068206e-05,3.755455712091067e-06,1.2518185706970224e-06,39.87274122238159,0.6106226695879006,0.20354088986263352
plain,False,none,small-med,"96,96",9794,48,9,9,0.0,0.0,0.010265730942289034,0.002362834660256511,0.000787611553418837,0.010592722696148686,0.0025495462693337673,0.0008498487564445891,0.0014835009480723077,0.0009172836311157916,0.00030576121037193053,16.806691964467365,0.36566463105931823,0.12188821035310608
plain,False,none,small-med,"96,96",9794,64,9,9,0.0,0.0,0.008249201811850071,0.001779940562472389,0.0005933135208241296,0.008539769488076368,0.001921214794539949,0.0006404049315133164,0.0009287584010356417,0.0005104846527730218,0.0001701615509243406,17.091873990164864,0.22266042870571387,0.07422014290190462
plain,False,none,small-med,"96,96",9794,96,9,9,0.0,0.0,0.0063402232093115645,0.0009261319715511102,0.0003087106571837034,0.0064721314960883725,0.0010692180527094627,0.0003564060175698209,0.0004096669047915687,0.00011335841050191716,3.778613683397239e-05,17.315871397654217,0.23188656077773123,0.07729552025924374
plain,False,none,small-med,"96,96",9794,128,9,9,0.0,0.0,0.005751499130080144,0.0007815183369431243,0.00026050611231437474,0.005851072414467732,0.000912762965847751,0.0003042543219492503,0.0003445469208398006,9.63972483452946e-05,3.21324161150982e-05,17.268475929896038,0.16920534181588226,0.056401780605294084
plain,False,none,small-med,"96,96",9794,256,9,9,0.0,0.0,0.004650360956374142,0.0007069911810740775,0.0002356637270246925,0.004712088861399227,0.0007957976074314466,0.00026526586914381556,0.0002008037845371291,6.913781894075259e-05,2.304593964691753e-05,18.05035670598348,0.2452896398204894,0.08176321327349646
plain,False,none,small-med,"96,96",9794,384,9,9,0.0,0.0,0.004384199648888575,0.0006288091253815043,0.00020960304179383474,0.0043479470122191645,0.0004888182993489679,0.00016293943311632264,0.0001719910635276594,6.322937041575239e-05,2.1076456805250798e-05,18.5302824444241,0.31526618288382224,0.10508872762794075
plain,False,none,small-med,"96,96",9794,512,9,9,0.0,0.0,0.0038257666553060212,0.0003486905226431007,0.0001162301742143669,0.003854332621105843,0.00033212051523445486,0.00011070683841148495,0.00012867860075655498,2.9311983138945377e-05,9.770661046315126e-06,19.053257438871597,0.291024925529287,0.09700830850976233
