lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.0,piml,small,4482,128,22,101,success,0.00743282213807106,0.007617088966071606,0.0055320532992482185,0.00042570315417833626,0.00045685359509661794,0.00023145819432102144,399,3.3232123851776123
0.0,piml,small,4482,128,22,202,success,0.007440012879669666,0.0077883219346404076,0.005329051520675421,0.00037237515789456666,0.00041123994742520154,0.00013461062917485833,399,3.546017646789551
0.0,piml,small,4482,128,22,303,success,0.005945476703345776,0.006150757893919945,0.0041091954335570335,0.0003123748174402863,0.00035353779094293714,0.00010500659846002236,399,3.340097188949585
0.0,piml,small,4482,128,33,101,success,0.00851212814450264,0.008038296364247799,0.005925663746893406,0.0007134716724976897,0.000639400735963136,0.0003060500312130898,399,3.45963978767395
0.0,piml,small,4482,128,33,202,success,0.006709148641675711,0.006335208658128977,0.0043849400244653225,0.0005162222078070045,0.000462954631075263,0.00018725609697867185,399,3.817211151123047
0.0,piml,small,4482,128,33,303,success,0.0059024877846241,0.005845831707119942,0.004119631368666887,0.0005056033260188997,0.00044974745833314955,0.00010583690163912252,399,3.4911224842071533
0.0,piml,small,4482,4096,11,101,success,0.0012931603705510497,0.0012720976956188679,0.0012043091701343656,1.0566273886070121e-05,1.0859263056772761e-05,9.235827747033909e-06,314,14.794369220733643
0.0,piml,small,4482,4096,11,202,success,0.001211073948070407,0.0012338269734755158,0.0011238915612921119,8.993116352939978e-06,9.022820449899882e-06,7.537640158261638e-06,237,12.634056091308594
0.0,piml,small,4482,4096,11,303,success,0.0012932643294334412,0.0012766252039000392,0.0012133738491684198,9.586750820744783e-06,9.02825740922708e-06,8.312012141686864e-06,210,11.219466924667358
0.0,piml,small,4482,4096,22,101,success,0.0012783926213160157,0.0012768101878464222,0.0011620103614404798,9.410241545992903e-06,9.830403541855048e-06,7.777593054925092e-06,286,13.829976558685303
0.0,piml,small,4482,4096,22,202,success,0.0013133942848071456,0.0013792949030175805,0.001270701875910163,1.0305662726750597e-05,1.1396042282285634e-05,9.198367479257286e-06,174,8.924416065216064
0.0,piml,small,4482,4096,22,303,success,0.0010584890842437744,0.001084169140085578,0.0009963249322026968,6.6035463532898575e-06,7.068126251397189e-06,5.412965037976392e-06,349,14.645159006118774
0.0,piml,small,4482,4096,33,101,success,0.001302203512750566,0.0012319148518145084,0.0011871912283822894,1.0788663530547637e-05,9.934590707416646e-06,9.077721188077703e-06,284,11.783052682876587
0.0,piml,small,4482,4096,33,202,success,0.0012722630053758621,0.0012171609560027719,0.001176190096884966,9.567027518642135e-06,8.862005415721796e-06,8.372718184546102e-06,217,8.61024785041809
0.0,piml,small,4482,4096,33,303,success,0.0013072926085442305,0.0012653276789933443,0.0011988887563347816,9.327286534244195e-06,9.178182153846137e-06,7.923791599750984e-06,199,7.611562490463257
0.0001,piml,large,67074,1024,11,101,success,0.0008354144520126283,0.0008479044772684574,0.0006866675685159862,4.887935574515723e-06,5.7564257076592185e-06,2.991449719047523e-06,241,6.337218999862671
0.0001,piml,large,67074,1024,11,202,success,0.0007728079217486084,0.0008017061045393348,0.000619808619376272,4.270334557077149e-06,4.904705747321714e-06,2.6172590423811926e-06,234,7.422276496887207
0.0001,piml,large,67074,1024,11,303,success,0.0008883995469659567,0.0009443570743314922,0.0007755042752251029,5.72706312595983e-06,6.723370461259037e-06,3.8024259083613288e-06,182,5.54246973991394
0.0001,piml,large,67074,1024,22,101,success,0.0008500195690430701,0.0008604041067883372,0.0007045933743938804,6.68091161060147e-06,6.946222583792405e-06,3.4069082630594494e-06,201,4.92575740814209
0.0001,piml,large,67074,1024,22,202,success,0.0008238584850914776,0.0008369250572286546,0.0006559605826623738,6.153908998385305e-06,6.268356628424954e-06,3.2999853374349186e-06,203,4.655721187591553
0.0001,piml,large,67074,1024,22,303,success,0.0008870222372934222,0.0009238498751074076,0.0007421819609589875,6.455358743551187e-06,7.050729436741676e-06,3.4240574677824043e-06,176,4.560760021209717
0.0001,piml,large,67074,1024,33,101,success,0.0008641562890261412,0.0008236599387601018,0.0007036346942186356,5.529319423658308e-06,5.8863938647846226e-06,3.1432057312485995e-06,217,4.935014724731445
0.0001,piml,large,67074,1024,33,202,success,0.0008133487426675856,0.0007915301248431206,0.0006697839708067477,5.433578280644724e-06,5.925175628362922e-06,2.8418744477676228e-06,296,7.12604022026062
0.0001,piml,large,67074,1024,33,303,success,0.000865500420331955,0.0008370353025384247,0.0007235826924443245,5.169608357391553e-06,5.72622184336069e-06,3.059042683162261e-06,180,4.736799955368042
0.0001,piml,large,67074,128,11,101,success,0.0029845223762094975,0.003097157459706068,0.0011581096332520247,0.00010420746548334137,0.00010648131865309551,1.0260831004416104e-05,398,4.438363313674927
0.0001,piml,large,67074,128,11,202,success,0.0029580884147435427,0.003222496248781681,0.0010472408030182123,0.00010535222827456892,0.00011564135638764128,9.855426469584927e-06,399,4.51870322227478
0.0001,piml,large,67074,128,11,303,success,0.0026907671708613634,0.0029081872198730707,0.0008589891949668527,8.656419231556356e-05,9.84189537120983e-05,3.424418991926359e-06,397,4.745889663696289
